iter	Passed	Remaining
704	15817	6618
705	15841	6596
706	15868	6576
707	15889	6553
708	15909	6530
709	15919	6502
710	15937	6478
711	15955	6453
712	15977	6431
713	15994	6406
714	16014	6383
715	16038	6361
716	16173	6383
717	16205	6364
718	16244	6348
719	16266	6325
720	16287	6302
721	16314	6281
722	16335	6258
723	16359	6236
724	16374	6211
725	16400	6189
726	16435	6171
727	16463	6151
728	16490	6130
729	16544	6119
730	16568	6096
731	16612	6082
732	16642	6062
733	16665	6039
734	16688	6017
735	16711	5994
736	16742	5974
737	16782	5957
738	16812	5937
739	16845	5918
740	16887	5902
741	16924	5884
742	16962	5867
743	17008	5852
744	17035	5830
745	17068	5811
746	17093	5789
747	17115	5766
748	17134	5742
749	17160	5720
750	17175	5694
751	17217	5678
752	17236	5653
753	17255	5629
754	17279	5607
755	17299	5583
756	17323	5560
757	17348	5538
758	17366	5514
759	17385	5490
760	17419	5470
761	17439	5446
762	17458	5422
763	17505	5407
764	17525	5383
765	17556	5363
766	17573	5338
767	17590	5313
768	17607	5289
769	17628	5265
770	17657	5244
771	17680	5221
772	17702	5198
773	17725	5175
774	17760	5156
775	17780	5132
776	17797	5107
777	17827	5086
778	17850	5064
779	17868	5039
780	17891	5017
781	17921	4995
782	17953	4975
783	17976	4952
784	17998	4929
785	18017	4905
786	18039	4882
787	18073	4862
788	18090	4837
789	18129	4819
790	18147	4794
791	18154	4767
792	18189	4748
793	18233	4730
794	18255	4707
795	18279	4684
796	18311	4663
797	18332	4640
798	18357	4618
799	18382	4595
800	18409	4573
801	18437	4551
802	18468	4530
803	18493	4508
804	18521	4486
805	18540	4462
806	18565	4440
807	18592	4417
808	18614	4394
809	18639	4372
810	18661	4348
811	18685	4326
812	18708	4303
813	18732	4280
814	18763	4259
815	18806	4240
816	18840	4220
817	18853	4194
818	18878	4172
819	18897	4148
820	18913	4123
821	18930	4099
822	18936	4072
823	18956	4048
824	18979	4025
825	18997	4001
826	19018	3978
827	19040	3955
828	19067	3933
829	19084	3908
830	19106	3885
831	19124	3861
832	19141	3837
833	19160	3813
834	19178	3789
835	19202	3766
836	19229	3744
837	19280	3727
838	19315	3706
839	19337	3683
840	19354	3659
841	19380	3636
842	19404	3613
843	19428	3591
844	19469	3571
845	19501	3549
846	19524	3526
847	19541	3502
848	19558	3478
849	19576	3454
850	19593	3430
851	19617	3407
852	19634	3383
853	19651	3359
854	19672	3336
855	19697	3313
856	19721	3290
857	19743	3267
858	19764	3244
859	19797	3222
860	19816	3199
861	19833	3175
862	19850	3151
863	19872	3128
864	19911	3107
865	19935	3084
866	19962	3062
867	19986	3039
868	20011	3016
869	20034	2993
870	20059	2970
871	20085	2948
872	20109	2925
873	20128	2901
874	20145	2877
875	20162	2854
876	20179	2830
877	20196	2806
878	20212	2782
879	20230	2758
880	20303	2742
881	20326	2719
882	20346	2695
883	20366	2672
884	20385	2648
885	20402	2625
886	20419	2601
887	20437	2577
888	20455	2554
889	20472	2530
890	20490	2506
891	20515	2483
892	20538	2460
893	20560	2437
894	20585	2415
895	20608	2392
896	20634	2369
897	20687	2349
898	20713	2327
899	20738	2304
900	20776	2282
901	20802	2260
902	20837	2238
903	20876	2217
904	20895	2193
905	20913	2169
906	20933	2146
907	20959	2123
908	20990	2101
909	21014	2078
910	21038	2055
911	21070	2033
912	21109	2011
913	21146	1989
914	21167	1966
915	21188	1943
916	21206	1919
917	21225	1895
918	21249	1872
919	21282	1850
920	21333	1829
921	21364	1807
922	21399	1785
923	21424	1762
924	21445	1738
925	21462	1715
926	21479	1691
927	21497	1667
928	21515	1644
929	21532	1620
930	21549	1597
931	21566	1573
932	21584	1549
933	21605	1526
934	21653	1505
935	21678	1482
936	21716	1460
937	21740	1437
938	21763	1413
939	21785	1390
940	21807	1367
941	21827	1343
942	21851	1320
943	21872	1297
944	21893	1274
945	21910	1250
946	21927	1227
947	21944	1203
948	21964	1180
949	21998	1157
950	22021	1134
951	22059	1112
952	22084	1089
953	22119	1066
954	22145	1043
955	22171	1020
956	22190	997
957	22208	973
958	22229	950
959	22249	927
960	22267	903
961	22284	880
962	22302	856
963	22320	833
964	22365	811
965	22388	788
966	22407	764
967	22423	741
968	22444	718
969	22466	694
970	22483	671
971	22501	648
972	22519	624
973	22537	601
974	22554	578
975	22572	555
976	22588	531
977	22605	508
978	22623	485
979	22642	462
980	22664	438
981	22682	415
982	22715	392
983	22753	369
984	22784	346
985	22817	323
986	22837	300
987	22859	277
988	22880	254
989	22902	231
990	22921	208
991	22938	184
992	22957	161
993	22974	138
994	22992	115
995	23012	92
996	23029	69
997	23046	46
998	23063	23
999	23084	0
