iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
398	239	289	239	340	239	289	340
399	239	289	239	340	239	289	340
400	239	289	239	340	239	289	340
401	239	289	239	340	239	289	340
402	239	289	239	340	239	289	340
403	239	289	239	340	239	289	340
404	239	289	239	340	239	289	340
405	239	289	239	340	239	289	340
406	239	289	239	340	239	289	340
407	239	289	239	340	239	289	340
408	239	289	239	340	239	289	340
409	239	289	239	340	239	289	340
410	239	289	239	340	239	289	340
411	239	289	239	340	239	289	340
412	239	289	239	340	239	289	340
413	239	289	239	340	239	289	340
414	239	289	239	340	239	289	340
415	239	289	239	340	239	289	340
416	239	289	239	340	239	289	340
417	239	289	239	340	239	289	340
418	240	290	240	340	240	290	340
419	240	290	240	340	240	290	340
420	240	290	240	340	240	290	340
421	240	290	240	340	240	290	340
422	240	290	240	340	240	290	340
423	240	290	240	340	240	290	340
424	240	290	240	340	240	290	340
425	240	290	240	340	240	290	340
426	240	290	240	340	240	290	340
427	240	290	240	340	240	290	340
428	240	290	240	340	240	290	340
429	240	290	240	340	240	290	340
430	240	290	240	340	240	290	340
431	240	290	240	340	240	290	340
432	240	290	240	340	240	290	340
433	240	290	240	340	240	290	340
434	240	290	240	340	240	290	340
435	240	290	240	340	240	290	340
436	240	290	240	340	240	290	340
437	240	290	240	340	240	290	340
438	240	290	240	340	240	290	340
439	240	290	240	340	240	290	340
440	240	290	240	340	240	290	340
441	240	290	240	340	240	290	340
442	240	290	240	340	240	290	340
443	240	289	240	340	240	289	340
444	240	289	240	340	240	289	340
445	240	289	240	340	240	289	340
446	240	289	240	340	240	289	340
447	240	289	240	340	240	289	340
448	240	289	240	340	240	289	340
449	240	289	240	340	240	289	340
450	240	289	240	340	240	289	340
451	240	289	240	340	240	289	340
452	240	289	240	340	240	289	340
453	240	289	240	340	240	289	340
454	240	289	240	340	240	289	340
455	240	289	240	340	240	289	340
456	240	289	240	340	240	289	340
457	240	289	240	340	240	289	340
458	240	289	240	340	240	289	340
459	240	289	240	340	240	289	340
460	240	289	240	340	240	289	340
461	240	289	240	340	240	289	340
462	240	289	240	340	240	289	340
463	240	289	240	340	240	289	340
464	240	289	240	340	240	289	340
465	240	289	240	340	240	289	340
466	240	289	240	340	240	289	340
467	240	289	240	340	240	289	340
468	240	289	240	340	240	289	340
469	240	289	240	340	240	289	340
470	240	289	240	340	240	289	340
471	240	289	240	340	240	289	340
472	240	289	240	340	240	289	340
